,Title,Organization,Skills,Ratings,course_url,course_students_enrolled,course_description,Review Count,Difficulty,Type,Duration
0,Google Cybersecurity,Google," Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",4.8,https://www.coursera.org/professional-certificates/google-cybersecurity,"700,909","Google Cloud Fundamentals: Core Infrastructure introduces important concepts and terminology for working with Google Cloud. Through videos and hands-on labs, this course presents and compares many of Google Cloud's computing and storage services, along with important resource and policy management tools.
",20K,Beginner,Professional Certificate,3 - 6 Months
1,Google Data Analytics,Google," Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",4.8,https://www.coursera.org/professional-certificates/google-data-analytics,"229,865","Prepare for a new career in the high-growth field of cybersecurity, no degree or experience required. Get professional training designed and delivered by subject matter experts at Google and have the opportunity to connect with top employers.
Organizations must continuously protect themselves and the people they serve from cyber-related threats, like fraud and phishing. They rely on cybersecurity to maintain the confidentiality, integrity, and availability of their internal systems and information. Cybersecurity analysts use a collection of methods and technologies to safeguard against threats and unauthorized access — and to create and implement solutions should a threat get through.
During the 8 courses in this certificate program, you’ll learn from cybersecurity experts at Google and gain in-demand skills that prepare you for entry-level roles like cybersecurity analyst, security operations center (SOC) analyst, and more. At under 10 hours per week, you can complete the certificate in less than 6 months. 
Upon completion of the certificate, you can directly apply for jobs with Google and over 150 U.S. employers, including American Express, Deloitte, Colgate-Palmolive, Mandiant (now part of Google Cloud), T-Mobile, and Walmart.
The Google Cybersecurity Certificate helps prepare you for the CompTIA Security+ exam, the industry leading certification for cybersecurity roles. You’ll earn a dual credential when you complete both.
Applied Learning Project
This program includes 170 hours of instruction and hundreds of practice-based assessments and activities that simulate real-world cybersecurity scenarios that are critical for success in the workplace. Through a mix of videos, assessments, and hands-on labs, you’ll become familiar with the cybersecurity tools, platforms, and skills required for an entry-level job.
Skills you’ll gain will include: Python, Linux, SQL, Security Information and Event Management (SIEM) tools, Intrusion Detection Systems (IDS), communication, collaboration, analysis, problem solving and more! 
Additionally, each course includes portfolio activities through which you’ll showcase examples of cybersecurity skills that you can share with potential employers. Acquire concrete skills that top employers are hiring for right now.
",137K,Beginner,Professional Certificate,3 - 6 Months
3,Google Project Management:,Google," Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",4.8,https://www.coursera.org/professional-certificates/google-project-management,"29,702","Prepare-se para uma nova carreira no campo de alto crescimento de gerenciamento de projetos, sem necessidade de experiência ou diploma. Receba treinamento profissional desenvolvido pelo Google e aumente rapidamente sua vantagem competitiva para conquistar um trabalho bem remunerado. 
Os gerentes de projeto são solucionadores naturais de problemas. Eles definem o plano, orientam os colegas de equipe e gerenciam mudanças, riscos e partes interessadas.
Ao longo de seis cursos, você desenvolverá as habilidades necessárias para conquistar um trabalho de início de carreira na área. Aprenda com funcionários do Google que melhoraram as próprias carreiras com a base que tinham em gerenciamento de projetos. Com menos de dez horas por semana, você conclui as aulas em menos de seis meses.
75% dos alunos que obtêm os Certificados do Google nos Estados Unidos relatam uma melhora em suas carreiras dentro de um intervalo de 6 meses após a obtenção da certificação.
Veja todos os Certificados de Carreira do GoogleaquiOpens in a new tab.
¹Burning Glass: Labor Insight (últimos 12 meses: 01/02/20 - 31/01/21)
Fonte: *baseado nas respostas de pesquisa com os graduados pelo programa, Estados Unidos, 2021
Applied Learning Project
Este programa inclui mais de 140 horas de instrução e  de avaliações com base em situações reais, que ajudarão você a simular cenários reais de gerenciamento de projetos essenciais para o sucesso no  trabalho.
O conteúdo é  interativo e foi desenvolvido por funcionários do Google com experiência em gerenciamento de projetos e programas.
As habilidades incluem: Criação de planos de gerenciamento de riscos; compreensão das técnicas de melhoria de processos; gerenciamento de dinâmicas de equipes e de partes interessadas; criação de orçamentos e navegação pelas aquisições; utilização de softwares, ferramentas e modelos de gerenciamento de projetos; e prática de gerenciamento de projetos Agile, com ênfase no Scrum.
Com os  vídeos, avaliações e atividades práticas, você irá iniciar, planejar e executar projetos tradicionais e Agile. Você desenvolverá recursos para demonstrar sua compreensão dos principais elementos do gerenciamento de projetos, cronogramas, orçamentos e equipes.
",100K,Beginner,Professional Certificate,3 - 6 Months
4,IBM Data Science,IBM," Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Management, Data Visualization, Human Learning, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Statistical Programming, Big Data, Cloud Computing, IBM Cloud, Writing",4.6,https://www.coursera.org/professional-certificates/ibm-data-science,"239,622","Prepare for a career in the high-growth field of data science. In this program, you’ll develop the skills, tools, and portfolio to have a competitive edge in the job market as an entry-level data scientist in as little as 5 months. No prior knowledge of computer science or programming languages is required. 
Data science involves gathering, cleaning, organizing, and analyzing data with the goal of extracting helpful insights and predicting expected outcomes. The demand for skilled data scientists who can use data to tell compelling stories to inform business decisions has never been greater. 
You’ll learn in-demand skills used by professional data scientists including databases, data visualization, statistical analysis, predictive modeling, machine learning algorithms, and data mining. You’ll also work with the latest languages, tools,and libraries including Python, SQL, Jupyter notebooks, Github, Rstudio, Pandas, Numpy, ScikitLearn, Matplotlib, and more.
Upon completing the full program, you will have built a portfolio of data science projects to provide you with the confidence to excel in your interviews. You will also receive access to join IBM’s Talent Network where you’ll see job opportunities as soon as they are posted, recommendations matched to your skills and interests, and tips and tricks to help you stand apart from the crowd. 
This program is ACE® recommended—when you complete, you can earn up to 12 college credits. 
Applied Learning Project
This Professional Certificate has a strong emphasis on applied learning and includes a series of hands-on labs in the IBM Cloud that give you practical skills with applicability to real jobs.
Tools you’ll use: Jupyter / JupyterLab, GitHub, R Studio, and Watson Studio
Libraries you’ll use: Pandas, NumPy, Matplotlib, Seaborn, Folium, ipython-sql, Scikit-learn, ScipPy, etc.
Projects you’ll complete:
Extract and graph financial data with the Pandas Python library
Use SQL to query census, crime, and school demographic data sets
Wrangle data, graph plots, and create regression models to predict housing prices with data science Python libraries
Create a dynamic Python dashboard to monitor, report, and improve US domestic flight reliability
Apply and compare machine learning classification algorithms to predict whether a loan case will be paid off or not
Train and compare machine learning models to predict if a space launch can reuse the first stage of a rocket
",120K,Beginner,Professional Certificate,3 - 6 Months
5,Google Digital Marketing & E-commerce,Google," Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",4.8,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,"384,238","This course is the eighth course in the Google Data Analytics Certificate. You’ll have the opportunity to complete an optional case study, which will help prepare you for the data analytics job hunt. Case studies are commonly used by employers to assess analytical skills. For your case study, you’ll choose an analytics-based scenario. You’ll then ask questions, prepare, process, analyze, visualize and act on the data from the scenario. You’ll also learn other useful job hunt skills through videos with common interview questions and responses, helpful materials to build a portfolio online, and more. Current Google data analysts will continue to instruct and provide you with hands-on ways to accomplish common data analyst tasks with the best tools and resources.
Learners who complete this certificate program will be equipped to apply for introductory-level jobs as data analysts. No previous experience is necessary.

By the end of this course, you will:
 - Learn the benefits and uses of case studies and portfolios in the job search.
 - Explore real world job interview scenarios and common interview questions.
 - Discover how case studies can be a part of the job interview process. 
 - Examine and consider different case study scenarios. 
 - Have the chance to complete your own case study for your portfolio.
",23K,Beginner,Professional Certificate,3 - 6 Months
6,IBM Data Analyst,IBM," Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Databases, SQL, Plot (Graphics), Data Management, Data Structures, Exploratory Data Analysis, Machine Learning, Business Analysis, Computer Programming, Database Administration, Database Application, Database Theory, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression, Statistical Programming",4.6,https://www.coursera.org/professional-certificates/ibm-data-analyst,"173,574","Prepare for a career in the high-growth field of data analytics. In this program, you’ll learn in-demand skills like Python, Excel, and SQL to get job-ready in as little as 4 months. No prior experience or degree needed.
Data analysis is the process of collecting, storing, modeling, and analyzing data that can inform executive decision-making, and the demand for skilled data analysts has never been greater. 
This program will teach you the foundational data skills employers are seeking for entry-level data analytics roles. It will not only help you start your career in data analytics, but also provides a strong foundation for future career development in other paths such as data science, artificial intelligence, deep learning, or data engineering. 
You’ll learn the latest skills and tools used by professional data analysts including Excel spreadsheets, Python, Pandas, Numpy, Jupyter Notebooks, Cognos Analytics, and more. You’ll work with a variety of data sources and project scenarios to gain practical experience with data manipulation and applying analytical skills.
When you complete the full program, you’ll have a portfolio of projects and a Professional Certificate from IBM to showcase your expertise. You’ll also earn an IBM Digital badge and will gain access to career resources to help you in your job search, including mock interviews and resume support. 
This program is ACE® recommended—when you complete, you can earn up to 12 college credits. 
Applied Learning Project
Throughout the program, you’ll complete hands-on projects and labs and gain a firm grasp on the required technical skills to effectively gather, wrangle, mine, and visualize data, as well as the soft skills for working with stakeholders and storytelling with data to engage your audience.
Projects
Import, clean, and analyze fleet vehicle inventory with Excel pivot tables
Use car sales key performance indicator (KPI) data to create an interactive dashboard with visualizations
Extract and graph financial data with the Pandas data analysis Python library
Use SQL to query census, crime, and school demographic data sets
Wrangle data, graph plots, and create regression models to predict housing prices with data science Python libraries
Create a dynamic Python dashboard to monitor, report, and improve US domestic flight reliability
At the end of the program, you complete a real-world capstone project specifically designed to showcase your newly learned data analyst skills.
",73K,Beginner,Professional Certificate,3 - 6 Months
7,Google IT Support,Google," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",4.8,https://www.coursera.org/professional-certificates/support-informatique-google,"634,525","This beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.
Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employersOpens in a new tab.
This program builds on your IT foundations to help you take your career to the next level. It’s designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.
This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completion, you can share your information with potential employers, like Deloitte, Target, Verizon, and of course, Google. 
We recommend that you have Python installed on your machine. For some courses, you’ll need a computer where you can install Git or ask your administrator to install it for you.
If you’d like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional CertificateOpens in a new tab. 
Check out all Google Career Certificates hereOpens in a new tab.
Applied Learning Project
Learn how to program with Python with no previous knowledge of coding required and you’ll use Python to automate common system administration tasks
Learn to use Git and GitHub, to troubleshoot and debug complex problems
Apply automation at scale by using configuration management and the Cloud
Practice your technical skills with hands-on projects including a capstone project where you’ll use your new knowledge to solve a real-world IT problem
",183K,Beginner,Professional Certificate,3 - 6 Months
9,Machine Learning,Multiple educators," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Python Programming, Regression, Statistical Machine Learning, Tensorflow, Mathematics, Critical Thinking, Network Model, Reinforcement Learning",4.9,https://www.coursera.org/specializations/machine-learning,"201,871","This Specialization from leading researchers at the University of Washington introduces you to the exciting, high-demand field of Machine Learning. Through a series of practical case studies, you will gain applied experience in major areas of Machine Learning including Prediction, Classification, Clustering, and Information Retrieval. You will learn to analyze large and complex datasets, create systems that adapt and improve over time, and build intelligent applications that can make predictions from data.
Applied Learning Project
Learners will implement and apply predictive, classification, clustering, and information retrieval machine learning algorithms to real datasets throughout each course in the specialization. They will walk away with applied machine learning and Python programming experience.
",19K,Beginner,Specialization,1 - 3 Months
11,Google UX Design,Google," User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Web Design, Web Development Tools",4.8,https://www.coursera.org/professional-certificates/google-ux-design,"1,297,487","Prepare for a new career in the high-growth field of project management, no experience or degree required. Get professional training designed by Google and get on the fastrack to a competitively paid job. There are over 715,000 open jobs in project management with a median entry-level salary of $77,000.¹
Project managers are natural problem-solvers. They set the plan and guide teammates, and manage changes, risks, and stakeholders.
Gain in-demand skills that will prepare you for an entry-level job. Learn from Google employees whose foundations in project management served as launchpads for their own careers. 
Upon completion, you can directly apply for jobs with Google and over 150 U.S. employers including Deloitte, Target, Verizon, and of course, Google. 
This program qualifies you for over 100 hours of project management education, which helps prepare you for Project Management InstituteOpens in a new tab Certifications like the globally-recognized Certified Associate in Project Management (CAPM)®.Opens in a new tab
75% of certificate graduates report a positive career outcome (e.g., new job, promotion, or raise) within six months of completion²
Check out all Google Career Certificates hereOpens in a new tab.
¹Lightcast™ US Job Postings (2022: Jan. 1, 2022 - Dec. 31, 2022).
²Based on program graduate survey, United States 2022
Applied Learning Project
This program includes over 140 hours of instruction and hundreds of practice-based assessments which will help you simulate real-world project management scenarios that are critical for success in the workplace.
The content is highly interactive and exclusively developed by Google employees with decades of experience in program and project management.
Skills you’ll gain will include: Creating risk management plans; Understanding process improvement techniques; Managing escalations, team dynamics, and stakeholders; Creating budgets and navigating procurement; Utilizing  project management software, tools, and templates; Practicing Agile project management, with an emphasis on Scrum.
Through a mix of videos, assessments, and hands-on activities, you’ll get introduced to initiating, planning, and running both traditional and Agile projects. You’ll develop a toolbox to demonstrate your understanding of key project management elements, including managing a schedule, budget, and team.
",75K,Beginner,Professional Certificate,3 - 6 Months
13,IBM DevOps and Software Engineering,IBM," DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",4.6,https://www.coursera.org/professional-certificates/devops-and-software-engineering,"4,063","DevOps professionals are in high demand! According to a recent GitLab report,  DevOps skills are expected to grow 122% over the next five years,  making it one of the fastest growing skills in the workforce. 
This certificate will equip you with the key concepts and technical know-how to build your skills and knowledge of DevOps practices, tools and technologies and prepare you for an entry-level role in Software Engineering. 
The courses in this program will help you develop skill sets in a variety of DevOps philosophies and methodologies including Agile Development, Scrum Methodology, Cloud Native Architecture, Behavior and Test-Driven Development, and Zero Downtime Deployments.
You will learn to program with the Python language and Linux shell scripts,  create projects in GitHub, containerize and orchestrate your applications using Docker, Kubernetes & OpenShift,  compose applications with microservices, employ serverless technologies,  perform continuous integration and delivery (CI/CD), develop testcases,  ensure your code is secure, and monitor & troubleshoot your cloud deployments.
Guided by experts at IBM, you will be prepared for success. Labs and projects in this certificate program are designed to equip job-ready hands-on skills that will help you launch a new career in a highly in-demand field. 
This professional certificate is suitable for both - those who have none or some programming experience, as well as those with and without college degrees.
Applied Learning Project
Throughout the courses in this Professional Certificate,  you will develop a portfolio of projects to demonstrate your proficiency using various popular tools and technologies in DevOps and Cloud Native Software Engineering. 
You will: 
Create applications using Python programming language, using different programming constructs and logic, including functions, REST APIs, and various Python libraries.
Develop Linux Shell Scripts using Bash and automate repetitive tasks
Create projects on GitHub and work with Git commands
Build  and deploy applications composed of several microservices and deploy  them to cloud using containerization tools (such as Docker, Kubernetes,  and OpenShift); and serverless technologies
Employ various tools for automation, continuous integration (CI) and  continuous deployment (CD) of software including Chef, Puppet, GitHub  Actions, Tekton and Travis.
Secure and Monitor your applications and cloud deployments using tools like sysdig and Prometheus.
",44K,Beginner,Professional Certificate,3 - 6 Months
